simulation	patchID	patch_value
multi_cluster_p40_r05	1	S
multi_cluster_p40_r05	2	S
multi_cluster_p40_r05	3	S
multi_cluster_p40_r05	4	S
multi_cluster_p40_r05	5	S
multi_cluster_p40_r05	6	S
multi_cluster_p40_r05	7	S
multi_cluster_p40_r05	8	S
multi_cluster_p40_r05	9	S
multi_cluster_p40_r05	10	S
multi_cluster_p40_r05	11	S
multi_cluster_p40_r05	12	S
multi_cluster_p40_r05	13	S
multi_cluster_p40_r05	14	O
multi_cluster_p40_r05	15	S
multi_cluster_p40_r05	16	O
multi_cluster_p40_r05	17	O
multi_cluster_p40_r05	18	O
multi_cluster_p40_r05	19	O
multi_cluster_p40_r05	20	S
multi_cluster_p40_r05	21	O
multi_cluster_p40_r05	22	S
multi_cluster_p40_r05	23	S
multi_cluster_p40_r05	24	S
multi_cluster_p40_r05	25	S
multi_cluster_p40_r05	26	S
multi_cluster_p40_r05	27	S
multi_cluster_p40_r05	28	O
multi_cluster_p40_r05	29	O
multi_cluster_p40_r05	30	S
multi_cluster_p40_r05	31	O
multi_cluster_p40_r05	32	O
multi_cluster_p40_r05	33	S
multi_cluster_p40_r05	34	S
multi_cluster_p40_r05	35	S
multi_cluster_p40_r05	36	S
multi_cluster_p40_r05	37	S
multi_cluster_p40_r05	38	S
multi_cluster_p40_r05	39	O
multi_cluster_p40_r05	40	O
multi_cluster_p40_r05	41	O
multi_cluster_p40_r05	42	O
multi_cluster_p40_r05	43	O
multi_cluster_p40_r05	44	O
multi_cluster_p40_r05	45	O
multi_cluster_p40_r05	46	S
multi_cluster_p40_r05	47	S
multi_cluster_p40_r05	48	S
multi_cluster_p40_r05	49	S
multi_cluster_p40_r05	50	S
multi_cluster_p40_r05	51	S
multi_cluster_p40_r05	52	S
multi_cluster_p40_r05	53	S
multi_cluster_p40_r05	54	O
multi_cluster_p40_r05	55	O
multi_cluster_p40_r05	56	O
multi_cluster_p40_r05	57	O
multi_cluster_p40_r05	58	O
multi_cluster_p40_r05	59	O
multi_cluster_p40_r05	60	O
multi_cluster_p40_r05	61	O
multi_cluster_p40_r05	62	S
multi_cluster_p40_r05	63	S
multi_cluster_p40_r05	64	O
multi_cluster_p40_r05	65	O
multi_cluster_p40_r05	66	O
multi_cluster_p40_r05	67	O
multi_cluster_p40_r05	68	O
multi_cluster_p40_r05	69	O
multi_cluster_p40_r05	70	O
multi_cluster_p40_r05	71	S
multi_cluster_p40_r05	72	S
multi_cluster_p40_r05	73	S
multi_cluster_p40_r05	74	S
multi_cluster_p40_r05	75	S
multi_cluster_p40_r05	76	S
multi_cluster_p40_r05	77	S
multi_cluster_p40_r05	78	O
multi_cluster_p40_r05	79	O
multi_cluster_p40_r05	80	O
multi_cluster_p40_r05	81	O
multi_cluster_p40_r05	82	O
multi_cluster_p40_r05	83	O
multi_cluster_p40_r05	84	O
multi_cluster_p40_r05	85	O
multi_cluster_p40_r05	86	O
multi_cluster_p40_r05	87	S
multi_cluster_p40_r05	88	O
